projectID,projectAcronym,organisationID,vatNumber,name,shortName,SME,activityType,street,postCode,city,country,nutsCode,geolocation,organizationURL,contactForm,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active,source_programme
101070052,TANGO,936754415,ESB57868432,ANYSOLUTION SL,ANYSOLUTION,true,PRC,CAMI DE CA NA GALLURA 7,07010,Palma De Mallorca,ES,ES532,"39.6198308,2.6342506",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/936754415/101070052,2026-02-23 15:06:56,2426695,14,participant,255898.04,255898.04,0.0,false,,HORIZON
101070052,TANGO,997415402,DE113580069,FSAS TECHNOLOGIES GMBH,,false,PRC,MIES VAN DER ROHE STRASSE 8,80807,MUNCHEN,DE,DE212,"48.1768927,11.5921575",http://de.ts.fujitsu.com/,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/997415402/101070052,2026-02-23 15:06:56,2132414,39,participant,215937.5,215937.5,0.0,false,,HORIZON
101070052,TANGO,888445311,DE119363681,FUJITSU SERVICES GMBH,,false,PRC,MIES-VAN-DER-ROHE-STRASSE 8,80807,MUNCHEN,DE,DE212,"48.1768927,11.5921575",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/888445311/101070052,2026-02-23 15:06:56,1976867,2,participant,18437.5,18437.5,0.0,true,,HORIZON
101070052,TANGO,999903840,GB849738956,THE UNIVERSITY OF MANCHESTER,UNIVERSITY OF MANCHESTER,false,HES,OXFORD ROAD,M13 9PL,Manchester,UK,UKD33,"53.4791301,-2.2441008",http://www.manchester.ac.uk,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999903840/101070052,2026-02-23 15:06:56,1905551,35,associatedPartner,0.0,0.0,0.0,false,,HORIZON
101070052,TANGO,914580021,PT509061443,SQUAD IT - YOUR BUSINESS OUR MISSION UNIPESSOAL LDA,SQUAD,false,PRC,AV JOSE GOMES FERREIRA N 11 S63  E,1495-139,LISBOA,PT,PT1A0,"38.7051749,-9.2306212",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/914580021/101070052,2026-02-23 15:06:56,1976993,4,participant,176625.0,176625.0,176625.0,false,,HORIZON
101070052,TANGO,989221715,,STICHTING EGI,EGI Foundation,false,OTH,SCIENCE PARK 140,1098 XG,AMSTERDAM,NL,NL32B,"52.35695685,4.95433748205789",http://www.egi.eu,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/989221715/101070052,2026-02-23 15:06:56,1938167,24,participant,280500.0,280500.0,280500.0,false,,HORIZON
101070052,TANGO,983764495,EL094437210,DIADIKASIA BUSINESS CONSULTING SYMVOULOI EPICHEIRISEON AE,DIADIKASIA BUSINESS CONSULTANTS SA,true,PRC,KIFISSIAS AVE 296 & NAVARINOU 40 HALANDRI,152 32,ATHINA,EL,EL301,"35.3664068,24.516279",https://www.diadikasia.gr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/983764495/101070052,2026-02-23 15:06:56,2211178,6,participant,344375.0,344375.0,344375.0,false,,HORIZON
101070052,TANGO,999773375,SI15779092,XLAB RAZVOJ PROGRAMSKE OPREME IN SVETOVANJE DOO,XLAB,true,PRC,POT ZA BRDOM 100,1000,Ljubljana,SI,SI041,"46.0484068,14.4608314613919",http://xlab.si,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999773375/101070052,2026-02-23 15:06:56,2128239,12,participant,316250.0,316250.0,316250.0,false,,HORIZON
101070052,TANGO,932760440,FI26473754,TEKNOLOGIAN TUTKIMUSKESKUS VTT OY,VTT,false,REC,TEKNIIKANTIE 21,02150,Espoo,FI,FI1B1,"60.2051454,24.6569676",https://www.vtt.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932760440/101070052,2026-02-23 15:06:56,2104951,17,participant,417390.68,417390.68,0.0,false,,HORIZON
101070052,TANGO,999984059,DE129515865,FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,Fraunhofer,false,REC,HANSASTRASSE 27C,80686,MUNCHEN,DE,DE212,"48.1322664,11.5296222",https://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101070052,2026-02-23 15:06:56,1905912,16,participant,349062.5,349062.5,0.0,false,,HORIZON
101070052,TANGO,999992401,FR43775685019,COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES,CEA,false,REC,RUE LEBLANC  25,75015,Paris,FR,FR101,"48.8397706,2.2739214",https://www.cea.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999992401/101070052,2026-02-23 15:06:56,1905694,15,participant,358992.5,358992.5,0.0,false,,HORIZON
101070052,TANGO,919489191,,INTERNATIONAL DATA SPACES EV,INTERNATIONAL DATA SPACES ASSOCIATION IDSA,false,REC,EMIL FIGGE STRASSE 80,44227,DORTMUND,DE,DEA52,"52.5205974,13.401979511988369",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/919489191/101070052,2026-02-23 15:06:56,3099713,23,participant,146250.0,146250.0,146250.0,false,,HORIZON
101070052,TANGO,889336353,ESG07239650,ASSOCIACION HOTELERA DE PLATJA DE MURO,ASOCIACION HOTELERA DE PLAYAS DE MURO,false,OTH,AV ALBUFERA 33 EDIFICIO MUNICIPAL,07458,MURO,ES,ES532,"42.1334505,-2.1120071",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/889336353/101070052,2026-02-23 15:06:56,1977193,32,participant,61250.0,61250.0,61250.0,false,,HORIZON
